label,seq_len,batch_size,num_qo_heads,num_kv_heads,head_dim,page_size,CTA_TILE_Q,CTA_TILE_KV,NUM_MMA_Q,NUM_MMA_KV,NUM_WARPS_Q,NUM_WARPS_KV,ms,tflops
[baseline_before] llama3_8b,7296,8,32,8,128,16,128,32,2,2,4,1,52.4751,66.481
[baseline_before] llama3_8b,7424,8,32,8,128,16,128,32,2,2,4,1,54.3059,66.513
[baseline_before] llama3_8b,7552,8,32,8,128,16,128,32,2,2,4,1,56.1953,66.513
[baseline_before] llama3_8b,7680,8,32,8,128,16,128,32,2,2,4,1,58.086,66.547
[baseline_before] llama3_8b,7808,8,32,8,128,16,128,32,2,2,4,1,60.007,66.582
[baseline_before] llama3_8b,7936,8,32,8,128,16,128,32,2,2,4,1,61.9651,66.61
[baseline_before] llama3_8b,8064,8,32,8,128,16,128,32,2,2,4,1,63.9305,66.661
[baseline_before] llama3_8b,8192,8,32,8,128,16,128,32,2,2,4,1,65.9603,66.677
[baseline_before] llama3_70b,128,8,64,8,128,16,128,32,2,2,4,1,0.0928,23.153
[baseline_before] llama3_70b,256,8,64,8,128,16,128,32,2,2,4,1,0.2328,36.9
[baseline_before] llama3_70b,384,8,64,8,128,16,128,32,2,2,4,1,0.4374,44.19
[baseline_before] llama3_70b,512,8,64,8,128,16,128,32,2,2,4,1,0.7016,48.973
[baseline_before] llama3_70b,640,8,64,8,128,16,128,32,2,2,4,1,1.0103,53.138
[baseline_before] llama3_70b,768,8,64,8,128,16,128,32,2,2,4,1,1.3966,55.355
[baseline_before] llama3_70b,896,8,64,8,128,16,128,32,2,2,4,1,1.8813,55.932
[baseline_before] llama3_70b,1024,8,64,8,128,16,128,32,2,2,4,1,2.3767,57.829
[baseline_before] llama3_70b,1152,8,64,8,128,16,128,32,2,2,4,1,2.981,58.352
[baseline_before] llama3_70b,1280,8,64,8,128,16,128,32,2,2,4,1,3.5911,59.801
[baseline_before] llama3_70b,1408,8,64,8,128,16,128,32,2,2,4,1,4.2842,60.652
[baseline_before] llama3_70b,1536,8,64,8,128,16,128,32,2,2,4,1,5.0915,60.736
[baseline_before] llama3_70b,1664,8,64,8,128,16,128,32,2,2,4,1,5.9565,60.929
[baseline_before] llama3_70b,1792,8,64,8,128,16,128,32,2,2,4,1,6.8628,61.331
[baseline_before] llama3_70b,1920,8,64,8,128,16,128,32,2,2,4,1,7.7821,62.089
[baseline_before] llama3_70b,2048,8,64,8,128,16,128,32,2,2,4,1,8.7804,62.612
[baseline_before] llama3_70b,2176,8,64,8,128,16,128,32,2,2,4,1,9.8479,63.021
[baseline_before] llama3_70b,2304,8,64,8,128,16,128,32,2,2,4,1,10.9971,63.27
[baseline_before] llama3_70b,2432,8,64,8,128,16,128,32,2,2,4,1,12.2018,63.535
[baseline_before] llama3_70b,2560,8,64,8,128,16,128,32,2,2,4,1,13.4725,63.759
[baseline_before] llama3_70b,2688,8,64,8,128,16,128,32,2,2,4,1,14.7885,64.039
[baseline_before] llama3_70b,2816,8,64,8,128,16,128,32,2,2,4,1,16.2159,64.096
[baseline_before] llama3_70b,2944,8,64,8,128,16,128,32,2,2,4,1,17.7076,64.154
[baseline_before] llama3_70b,3072,8,64,8,128,16,128,32,2,2,4,1,19.2191,64.36
[baseline_before] llama3_70b,3200,8,64,8,128,16,128,32,2,2,4,1,20.7782,64.595
[baseline_before] llama3_70b,3328,8,64,8,128,16,128,32,2,2,4,1,22.4117,64.774
[baseline_before] llama3_70b,3456,8,64,8,128,16,128,32,2,2,4,1,24.1135,64.923
[baseline_before] llama3_70b,3584,8,64,8,128,16,128,32,2,2,4,1,25.872,65.075
[baseline_before] llama3_70b,3712,8,64,8,128,16,128,32,2,2,4,1,27.7349,65.118
[baseline_before] llama3_70b,3840,8,64,8,128,16,128,32,2,2,4,1,29.6563,65.171
[baseline_before] llama3_70b,3968,8,64,8,128,16,128,32,2,2,4,1,31.577,65.355
[baseline_before] llama3_70b,4096,8,64,8,128,16,128,32,2,2,4,1,33.5956,65.456
[baseline_before] llama3_70b,4224,8,64,8,128,16,128,32,2,2,4,1,35.6829,65.539
[baseline_before] llama3_70b,4352,8,64,8,128,16,128,32,2,2,4,1,37.8317,65.619
[baseline_before] llama3_70b,4480,8,64,8,128,16,128,32,2,2,4,1,39.9807,65.798
[baseline_before] llama3_70b,4608,8,64,8,128,16,128,32,2,2,4,1,42.2509,65.872
[baseline_before] llama3_70b,4736,8,64,8,128,16,128,32,2,2,4,1,44.5804,65.946
[baseline_before] llama3_70b,4864,8,64,8,128,16,128,32,2,2,4,1,46.969,66.022
[baseline_before] llama3_70b,4992,8,64,8,128,16,128,32,2,2,4,1,49.434,66.074
[baseline_before] llama3_70b,5120,8,64,8,128,16,128,32,2,2,4,1,51.951,66.139
[baseline_before] llama3_70b,5248,8,64,8,128,16,128,32,2,2,4,1,54.5358,66.194
[baseline_before] llama3_70b,5376,8,64,8,128,16,128,32,2,2,4,1,57.168,66.264
[baseline_before] llama3_70b,5504,8,64,8,128,16,128,32,2,2,4,1,59.9081,66.28
[baseline_before] llama3_70b,5632,8,64,8,128,16,128,32,2,2,4,1,62.6594,66.351
[baseline_before] llama3_70b,5760,8,64,8,128,16,128,32,2,2,4,1,65.4806,66.411
[baseline_before] llama3_70b,5888,8,64,8,128,16,128,32,2,2,4,1,68.3565,66.476
[baseline_before] llama3_70b,6016,8,64,8,128,16,128,32,2,2,4,1,71.3223,66.512
[baseline_before] llama3_70b,6144,8,64,8,128,16,128,32,2,2,4,1,74.3218,66.573
[baseline_before] llama3_70b,6272,8,64,8,128,16,128,32,2,2,4,1,77.3931,66.622
[baseline_before] llama3_70b,6400,8,64,8,128,16,128,32,2,2,4,1,80.5201,66.675
[baseline_before] llama3_70b,6528,8,64,8,128,16,128,32,2,2,4,1,83.7211,66.717
[baseline_before] llama3_70b,6656,8,64,8,128,16,128,32,2,2,4,1,86.9459,66.786
[baseline_before] llama3_70b,6784,8,64,8,128,16,128,32,2,2,4,1,90.3343,66.777
[baseline_before] llama3_70b,6912,8,64,8,128,16,128,32,2,2,4,1,93.7251,66.813
[baseline_before] llama3_70b,7040,8,64,8,128,16,128,32,2,2,4,1,97.2039,66.83
[baseline_before] llama3_70b,7168,8,64,8,128,16,128,32,2,2,4,1,100.712,66.869
[baseline_before] llama3_70b,7296,8,64,8,128,16,128,32,2,2,4,1,104.2556,66.924
[baseline_before] llama3_70b,7424,8,64,8,128,16,128,32,2,2,4,1,107.9167,66.942
[baseline_before] llama3_70b,7552,8,64,8,128,16,128,32,2,2,4,1,111.5759,66.998
