label,kv_len,batch_size,num_qo_heads,num_kv_heads,head_dim,page_size,dtype,use_tensor_cores,backend,fixed_split_size,requested_fixed_split_size,target_split_k,split_k_count,disable_split_kv,split_kv,kv_chunk_size_tokens,kv_chunk_size_pages,num_chunks_kv,CTA_TILE_Q,CTA_TILE_KV,NUM_MMA_Q,NUM_MMA_KV,NUM_WARPS_Q,NUM_WARPS_KV,ms,tflops,gb_per_s_est
[baseline_before] llama3_8b_float16_split_k_1,3840,16,32,8,128,16,fp16,1,fa2,240,,1,1,0,0,3840,240,1,16,64,1,1,1,4,0.29047,3.466,866.4
[baseline_before] llama3_8b_float16_split_k_1,3968,16,32,8,128,16,fp16,1,fa2,248,,1,1,0,0,3968,248,1,16,64,1,1,1,4,0.30019,3.465,866.3
[baseline_before] llama3_8b_float16_split_k_1,4096,16,32,8,128,16,fp16,1,fa2,256,,1,1,0,0,4096,256,1,16,64,1,1,1,4,0.31,3.464,865.9
[baseline_before] llama3_8b_float16_split_k_1,4224,16,32,8,128,16,fp16,1,fa2,264,,1,1,0,0,4224,264,1,16,64,1,1,1,4,0.31929,3.468,867.0
[baseline_before] llama3_8b_float16_split_k_1,4352,16,32,8,128,16,fp16,1,fa2,272,,1,1,0,0,4352,272,1,16,64,1,1,1,4,0.32855,3.472,868.1
[baseline_before] llama3_8b_float16_split_k_1,4480,16,32,8,128,16,fp16,1,fa2,280,,1,1,0,0,4480,280,1,16,64,1,1,1,4,0.33744,3.48,870.1
[baseline_before] llama3_8b_float16_split_k_1,4608,16,32,8,128,16,fp16,1,fa2,288,,1,1,0,0,4608,288,1,16,64,1,1,1,4,0.34733,3.478,869.5
[baseline_before] llama3_8b_float16_split_k_1,4736,16,32,8,128,16,fp16,1,fa2,296,,1,1,0,0,4736,296,1,16,64,1,1,1,4,0.35697,3.478,869.5
[baseline_before] llama3_8b_float16_split_k_1,4864,16,32,8,128,16,fp16,1,fa2,304,,1,1,0,0,4864,304,1,16,64,1,1,1,4,0.3663,3.481,870.2
[baseline_before] llama3_8b_float16_split_k_1,4992,16,32,8,128,16,fp16,1,fa2,312,,1,1,0,0,4992,312,1,16,64,1,1,1,4,0.37546,3.485,871.4
