label,kv_len,batch_size,num_qo_heads,num_kv_heads,head_dim,page_size,NUM_STAGES_SMEM,TILE_SIZE_PER_BDX,VEC_SIZE,BDX,BDY,BDZ,KV_TILE_TOKENS,ms,tflops,gb_per_s_est
[baseline_before] llama3_8b,6400,8,32,8,128,16,2,1,8,16,4,2,8,0.25074,3.346,836.4
[baseline_before] llama3_8b,6528,8,32,8,128,16,2,1,8,16,4,2,8,0.25471,3.359,839.8
[baseline_before] llama3_8b,6656,8,32,8,128,16,2,1,8,16,4,2,8,0.25832,3.377,844.3
[baseline_before] llama3_8b,6784,8,32,8,128,16,2,1,8,16,4,2,8,0.26537,3.351,837.7
[baseline_before] llama3_8b,6912,8,32,8,128,16,2,1,8,16,4,2,8,0.26779,3.383,845.8
[baseline_before] llama3_8b,7040,8,32,8,128,16,2,1,8,16,4,2,8,0.27251,3.386,846.5
[baseline_before] llama3_8b,7168,8,32,8,128,16,2,1,8,16,4,2,8,0.27678,3.394,848.6
[baseline_before] llama3_8b,7296,8,32,8,128,16,2,1,8,16,4,2,8,0.28279,3.382,845.4
[baseline_before] llama3_8b,7424,8,32,8,128,16,2,1,8,16,4,2,8,0.28711,3.389,847.3
[baseline_before] llama3_8b,7552,8,32,8,128,16,2,1,8,16,4,2,8,0.29184,3.392,847.9
[baseline_before] llama3_8b,7680,8,32,8,128,16,2,1,8,16,4,2,8,0.29711,3.388,847.0
[baseline_before] llama3_8b,7808,8,32,8,128,16,2,1,8,16,4,2,8,0.30354,3.372,842.9
[baseline_before] llama3_8b,7936,8,32,8,128,16,2,1,8,16,4,2,8,0.30804,3.377,844.2
[baseline_before] llama3_8b,8064,8,32,8,128,16,2,1,8,16,4,2,8,0.31382,3.368,842.0
[baseline_before] llama3_8b,8192,8,32,8,128,16,2,1,8,16,4,2,8,0.31581,3.4,850.0
[baseline_before] llama3_70b,128,8,64,8,128,16,2,1,8,16,8,1,8,0.03816,0.879,109.9
[baseline_before] llama3_70b,256,8,64,8,128,16,2,1,8,16,8,1,8,0.04642,1.446,180.7
[baseline_before] llama3_70b,384,8,64,8,128,16,2,1,8,16,8,1,8,0.04672,2.155,269.4
