batch_size,n,patched_geomean_speedup,oracle_geomean_speedup,patched_min_speedup,patched_max_speedup
1,64,1.013299615389683,1.0559257617335227,0.9474097331240189,1.220779220779221
2,64,1.0492863016201444,1.070982374485506,0.9829871414441147,1.3053398058252428
4,64,1.0488551236258157,1.0650737445344507,0.9912490055688147,1.2641601562499998
8,64,1.029476016437717,1.0530329068941688,0.990928549587198,1.2242673770888834
16,64,1.0011638809756704,0.9937977323896922,0.9788563190773667,1.0362971985383678
