batch_size,kv_len,default_ms,patched_ms,oracle_ms,default_chunks,patched_chunks,oracle_chunks,oracle_k,oracle_source,patched_speedup,oracle_speedup
1,6400,0.04887,0.04988,0.0491,20.0,6.0,9.0,9,k_9,0.9797514033680833,0.995315682281059
1,6528,0.04911,0.04975,0.0482,20.0,6.0,13.0,13,k_13,0.9871356783919598,1.0188796680497925
1,6656,0.04886,0.04999,0.0485,20.0,6.0,13.0,13,k_13,0.9773954790958191,1.0074226804123712
1,6784,0.049,0.05068,0.0489,20.0,6.0,19.0,19,k_19,0.9668508287292817,1.0020449897750512
1,6912,0.04943,0.04997,0.0484,20.0,6.0,9.0,9,k_9,0.9891935161096658,1.0212809917355372
1,7040,0.04932,0.05145,0.0483,20.0,6.0,9.0,9,k_9,0.958600583090379,1.0211180124223602
1,7168,0.04907,0.05047,0.0484,20.0,7.0,9.0,9,k_9,0.9722607489597781,1.0138429752066116
1,7296,0.04929,0.05024,0.0487,20.0,7.0,13.0,13,k_13,0.9810907643312102,1.0121149897330595
1,7424,0.04886,0.05025,0.0486,20.0,7.0,13.0,13,k_13,0.9723383084577114,1.005349794238683
1,7552,0.04861,0.05016,0.0488,20.0,7.0,13.0,13,k_13,0.9690988835725677,0.9961065573770491
1,7680,0.0489,0.04993,0.0484,20.0,7.0,13.0,13,k_13,0.9793711195673943,1.0103305785123966
1,7808,0.0488,0.04967,0.0481,20.0,7.0,13.0,13,k_13,0.9824843970203343,1.0145530145530146
1,7936,0.04913,0.05082,0.0485,20.0,7.0,13.0,13,k_13,0.966745375836285,1.0129896907216493
1,8064,0.04902,0.04987,0.0486,20.0,7.0,13.0,13,k_13,0.9829556847804292,1.008641975308642
1,8192,0.04934,0.05085,0.0489,20.0,8.0,9.0,9,k_9,0.9703048180924287,1.008997955010225
2,128,0.04272,0.04115,0.0435,1.0,1.0,1.0,1,k_1,1.0381530984204133,0.9820689655172414
2,256,0.05027,0.04112,0.0419,2.0,1.0,1.0,1,k_1,1.2225194552529184,1.199761336515513
2,384,0.04972,0.04121,0.0414,3.0,1.0,1.0,1,k_1,1.206503275903907,1.2009661835748793
2,512,0.04941,0.04123,0.0425,4.0,1.0,1.0,1,k_1,1.198399223866117,1.1625882352941177
2,640,0.04942,0.04217,0.0416,5.0,1.0,1.0,1,k_1,1.1719231681290017,1.1879807692307693
2,768,0.05066,0.0422,0.0415,6.0,1.0,1.0,1,k_1,1.200473933649289,1.220722891566265
2,896,0.04947,0.04211,0.0416,7.0,1.0,1.0,1,k_1,1.1747803372120635,1.1891826923076925
2,1024,0.04947,0.04197,0.0419,8.0,1.0,1.0,1,k_1,1.178699070764832,1.1806682577565633
2,1152,0.04955,0.04215,0.0421,9.0,1.0,1.0,1,k_1,1.1755634638196915,1.176959619952494
2,1280,0.04951,0.04109,0.0418,10.0,1.0,1.0,1,k_1,1.2049160379654416,1.1844497607655502
2,1408,0.05378,0.0412,0.0417,10.0,1.0,1.0,1,k_1,1.3053398058252428,1.2896882494004795
2,1536,0.04959,0.04109,0.0419,10.0,1.0,1.0,1,k_1,1.2068629836943294,1.1835322195704059
2,1664,0.0489,0.04152,0.0421,10.0,1.0,1.0,1,k_1,1.1777456647398843,1.161520190023753
